,Unnamed: 0,Unnamed: 0.1,cik,date,Total Revenue,filenames,Number of customers,MRR,ARR,ARPU,Churn,CRR,MRR Expansion,Number of qualified leads,Penetration Rate,LTV,quater_year,url,year_month,Sales and Marketing,CAC,CAC payback,Gross Margin,quater_year_string,CAC payback period,ASP,LTV : CAC ratio,Total Assets,Total Liabilities Net Minority Interest,debt ratio,Total Equity Gross Minority Interest,Total Debt,Common Stock Equity,Total Capitalization,Shareholder Equity,Private Shareholding,Public Shareholding
149,149,149,1084577,ttm,32271,1084577_0.csv,816963,10757,129084,0.158004708,-2.880027166,3.880027166,3.325291516,0.000750925,0.000750702,-0.054862228,"('-1', 'ttm')",,2021-ttm,10709,,,65.82242341,"-1,ttm",,0.016265693,,,,,,,,,,,
150,150,150,1084577,9/29/2021,7461,1084577_0.csv,210556,2487,29844,0.141739015,0.019452064,0.980547936,-0.019450651,0.000205101,0.0002051,7.28657981,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1084577/000121390021059378/Financial_Report.xlsx,2021-09,2785,-0.666746469,-0.010207267,65.32075986,"Q3,2021",-0.864174272,2.04E-07,-10.92856153,65541,44774,0.683144902,20767,57372,20767,29308,20767,0.708577863,0.291422137
151,151,151,1084577,6/29/2021,7609,1084577_0.csv,214733,2536.333333,30436,0.141738811,0.131092947,0.868907053,-0.131095124,0.000209169,0.000209169,1.081208515,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1084577/000121390021043003/Financial_Report.xlsx,2021-06,2731,-0.084297929,-0.001298576,64.91566807,"Q2,2021",-0.109941039,-3.55E-07,-12.8260389,61173,44555,0.728344204,16618,13981000,16618,25115,16618,0.661676289,0.338323711
152,152,152,1084577,3/30/2021,8757,1084577_0.csv,247130,2919,35028,0.141739166,0.09618219,0.90381781,0.03706774,0.000240727,0.000240727,1.473652927,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1084577/000121390021027010/Financial_Report.xlsx,2021-03,2638,-0.100307997,-0.001509818,66.43713177,"Q1,2021",-0.127825075,0.018211669,-14.69128064,63261,41917,0.662604132,21344,14001000,21344,29800,21344,0.716241611,0.283758389
153,153,153,1084577,12/30/2020,8444,1084577_0.csv,273429,2814.666667,33776,0.123527497,,,,0.000279867,0.000279866,,"('Q4', '2020')",,2020-12,2555,,,66.73474371,"Q4,2020",,NaN,,58943,46906,0.795785759,12037,15519000,12037,21285,12037,0.565515621,0.434484379
154,154,154,1092699,ttm,385276,1092699_0.csv,59,128425.3333,1541104,26120.40678,0.048387097,0.951612903,2.749425824,0.008965119,5.42E-08,539821.7401,"('-1', 'ttm')",,2021-ttm,88044,,,67.68497623,"-1,ttm",,19490.98742,,,,,,,,,,,
155,155,155,1092699,12/30/2021,102756,1092699_0.csv,62,34252,411024,6629.419355,-0.050847458,1.050847458,0.049741028,0.002824732,6.04E-08,-130378.5806,"('Q4', '2021')",,2021-12,22658,7552.666667,113.4126804,66.59455224,"Q4,2021",0.205289799,-6.987424822,-17.26258902,,,,,,,,,,
156,156,156,1092699,9/29/2021,97887,1092699_0.csv,59,32629,391548,6636.40678,-0.035087719,1.035087719,0.035413956,0.002690885,5.75E-08,-189137.5932,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1092699/000156459021052660/Financial_Report.xlsx,2021-09,22079,11039.5,172.3500138,64.0527944,"Q3,2021",0.311644574,2.090990187,-17.13280431,,,,,,,,,,
157,157,157,1092699,6/29/2021,94539,1092699_0.csv,57,31513,378156,6634.315789,-0.036363636,1.036363636,0.049337359,0.00259885,5.55E-08,-182443.6842,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1092699/000156459021039148/Financial_Report.xlsx,2021-06,21952,10976,163.2999487,67.2137382,"Q2,2021",0.295373245,82.02488038,-16.62205578,,,,,,,,,,
158,158,158,1092699,3/30/2021,90094,1092699_0.csv,55,30031.33333,360376,6552.290909,-0.078431373,1.078431373,0.081456763,0.002476658,5.36E-08,-83541.70909,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1092699/000156459021021965/Financial_Report.xlsx,2021-03,21355,5338.75,80.2772364,66.5039087,"Q1,2021",0.147021378,18.33012478,-15.64817777,,,,,,,,,,
159,159,159,1092699,12/30/2020,83308,1092699_0.csv,51,27769.33333,333232,6533.960784,,,,0.002761149,5.22E-08,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1092699/000156459021007614/Financial_Report.xlsx,2020-12,19812,,,68.93253376,"Q4,2020",,NaN,,,,,,,,,,,
160,160,160,1102993,ttm,469624,1102993_0.csv,11888875,156541.3333,1878496,0.158004521,-2.402869787,3.402869787,2.793378083,0.010927842,0.010924604,-0.065756589,"('-1', 'ttm')",,2021-ttm,165421,,,72.53365973,"-1,ttm",,0.016265733,,,,,,,,,,,
161,161,161,1102993,12/30/2021,123801,1102993_0.csv,3493779,41267,495204,0.141738788,-0.04626152,1.04626152,0.046261631,0.003403253,0.003403252,-3.063859312,"('Q4', '2021')",,2021-12,48994,0.317152271,0.004053179,78.24778925,"Q4,2021",0.343153381,1.51E-08,-9.660530888,1186656,837219,0.705527971,349437,6132000,349437,923675,349437,0.378311636,0.621688364
162,162,162,1102993,9/29/2021,118327,1102993_0.csv,3339298,39442.33333,473308,0.141738773,0.01068507,0.98931493,-0.010685172,0.003252775,0.003252774,13.26512368,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1102993/000110299321000134/Financial_Report.xlsx,2021-09,40852,-1.132701159,-0.014450325,78.38586263,"Q3,2021",-1.223404803,-1.46E-08,-11.71105333,1068909,806800,0.754788293,262109,6281000,262109,827168,262109,0.316875169,0.683124831
163,163,163,1102993,6/29/2021,119605,1102993_0.csv,3375364,39868.33333,478420,0.141738787,-0.108572562,1.108572562,0.108572541,0.003287907,0.003287906,-1.3054752,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1102993/000110299321000120/Financial_Report.xlsx,2021-06,38622,0.116831024,0.001486817,78.57796329,"Q2,2021",0.125878034,-2.73E-09,-11.17404567,1043757,782065,0.749278807,261692,147622,261692,817724,261692,0.320024849,0.679975151
164,164,164,1102993,3/30/2021,107891,1102993_0.csv,3044784,35963.66667,431564,0.14173879,0.079281456,0.920718544,0.05646022,0.002965892,0.002965891,1.78779247,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1102993/000110299321000084/Financial_Report.xlsx,2021-03,36953,-0.140944615,-0.001798139,78.38358308,"Q1,2021",-0.152235486,0.018211628,-12.68436169,1044537,784520,0.751069613,260017,146059,260017,807176,260017,0.322131728,0.677868272
165,165,165,1102993,12/30/2020,102125,1102993_0.csv,3306965,34041.66667,408500,0.123527162,,,,0.003384817,0.003384816,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1102993/000110299321000031/Financial_Report.xlsx,2020-12,39700,,,77.59312084,"Q4,2020",,NaN,,1006432,762498,0.757624956,243934,142771,243934,782366,243934,0.311790134,0.688209866
166,166,166,1107843,ttm,411172,1107843_0.csv,10300,137057.3333,1644688,159.6784466,0.063636364,0.936363636,2.745418109,0.009567702,9.46E-06,2509.232732,"('-1', 'ttm')",,2021-ttm,76487,,,77.61521503,"-1,ttm",,119.7584466,,,,,,,,,,,
167,167,167,1107843,12/30/2021,109780,1107843_0.csv,11000,36593.33333,439120,39.92,-0.046224082,1.046224082,0.046181409,0.00301782,1.07E-05,-863.6190947,"('Q4', '2021')",,2021-12,22159,45.59465021,0.620514473,73.47878605,"Q4,2021",0.186527397,-0.001628305,-18.94123742,814559,377845,0.463864496,436714,134335,436714,436714,436714,1,0
168,168,168,1107843,9/29/2021,104934,1107843_0.csv,10514,34978,419736,39.92162831,-0.052452452,1.052452452,0.05247638,0.002884605,1.02E-05,-761.1012725,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1107843/000143774921025112/Financial_Report.xlsx,2021-09,18569,35.4370229,0.488726713,72.50887251,"Q3,2021",0.146905845,0.000907584,-21.47757374,756180,353194,0.467076622,402986,132288,402986,402986,402986,1,0
169,169,169,1107843,6/29/2021,99702,1107843_0.csv,9990,33234,398808,39.92072072,-0.030428056,1.030428056,0.030447724,0.002740779,9.73E-06,-1311.970805,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1107843/000143774921019179/Financial_Report.xlsx,2021-06,17770,60.23728814,0.823687006,73.1312837,"Q2,2021",0.247596834,0.000761979,-21.78004431,737305,344310,0.466984491,392995,169199,392995,392995,392995,1,0
170,170,170,1107843,3/30/2021,96756,1107843_0.csv,9695,32252,387024,39.91995874,-0.020633751,1.020633751,0.020622145,0.002659794,9.44E-06,-1934.692286,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1107843/000143774921010932/Financial_Report.xlsx,2021-03,17989,91.78061224,1.23099023,74.55835962,"Q1,2021",0.370037526,-0.000453933,-21.07953127,729942,332834,0.455973214,397108,155507,397108,397108,397108,1,0
171,171,171,1107843,12/30/2020,94801,1107843_0.csv,9499,31600.33333,379204,39.92041268,,,,0.003142071,9.72E-06,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1107843/000143774921003648/Financial_Report.xlsx,2020-12,17892,,,73.92252222,"Q4,2020",,NaN,,736819,332337,0.451042929,404482,157504,404482,404482,404482,1,0
172,172,172,1108524,ttm,26492000,1108524_0.csv,150000,8830666.667,105968000,706.4533333,0.095955304,0.904044696,2.616161616,0.616451425,0.000137834,7362.316659,"('-1', 'ttm')",,2021-ttm,11855000,,,74.57452295,"-1,ttm",,529.8391615,,,,,,,,,,,
173,173,173,1108524,1/30/2022,7326000,1108524_0.csv,165921,2442000,29304000,176.6141718,-0.067462283,1.067462283,0.067463209,0.170471204,0.000152464,-2617.969082,"('Q4', '2021')",,2021-12,3464000,330.3452222,6.0700747,54.42193688,"Q4,2021",0.41242951,0.000153083,-7.924949132,95209000,37078000,0.389437973,58131000,52088,58131000,68723000,58131000,0.845874016,0.154125984
174,174,174,1108524,10/30/2021,6863000,1108524_0.csv,155435,2287666.667,27452000,176.6140187,-0.082491817,1.082491817,0.082492114,0.18866187,0.000151408,-2140.988345,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1108524/000110852421000055/Financial_Report.xlsx,2021-09,3111000,262.6424652,4.685583033,56.05331574,"Q3,2021",0.318360891,4.84E-05,-8.151721938,87436000,30382000,0.347477012,57054000,64351,57054000,67645000,57054000,0.843432626,0.156567374
175,175,175,1108524,7/30/2021,6340000,1108524_0.csv,143590,2113333.333,25360000,176.6139703,-0.063220093,1.063220093,0.06322321,0.174284752,0.000139869,-2793.636674,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1108524/000110852421000047/Financial_Report.xlsx,2021-06,2736000,320.449754,5.732928061,55.89635011,"Q2,2021",0.389522622,0.000517736,-8.717861813,88658000,33138000,0.373773376,55520000,24095,55520000,66109000,55520000,0.839825137,0.160174863
176,176,176,1108524,4/29/2021,5963000,1108524_0.csv,135052,1987666.667,23852000,176.6134526,-0.025101522,1.025101522,0.025098848,0.163921132,0.000131553,-7035.965924,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1108524/000110852421000030/Financial_Report.xlsx,2021-03,2544000,769.2772906,14.23168564,54.05384224,"Q1,2021",0.966971798,-0.000460645,-9.14620256,64885000,22318000,0.343962395,42567000,25383,42567000,45239000,42567000,0.940935918,0.059064082
177,177,177,1108524,1/30/2021,5817000,1108524_0.csv,131745,1939000,23268000,176.6139132,,,,0.159907635,0.000128331,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/Financial_Report.xlsx,2020-12,2632000,,,51.49194887,"Q4,2020",,NaN,,66301000,24808000,0.374172335,41493000,21349,41493000,44166000,41493000,0.939478332,0.060521668
178,178,178,1118417,ttm,202253,1118417_0.csv,830,67417.66667,809012,974.713253,0.01891253,0.98108747,2.924042528,0.004706294,7.63E-07,51537.96325,"('-1', 'ttm')",,2021-ttm,44822,,,59.94758272,"-1,ttm",,731.0158535,,,,,,,,,,,
179,179,179,1118417,12/30/2021,51542,1118417_0.csv,846,17180.66667,206168,243.6973995,-0.001183432,1.001183432,0.001184903,0.001416875,8.24E-07,-205924.3026,"('Q4', '2021')",,2021-12,11039,11039,180.5559983,61.138927,"Q4,2021",8.890829299,0.000358107,-18.65425334,356488,226499,0.6353622,129989,23488,129989,256946,129989,0.505900072,0.494099928
180,180,180,1118417,9/29/2021,51481,1118417_0.csv,845,17160.33333,205924,243.6970414,-0.009557945,1.009557945,0.008679807,0.001415198,8.23E-07,-25496.80296,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1118417/000111841721000166/Financial_Report.xlsx,2021-09,11128,1391,21.48288275,64.74922458,"Q3,2021",1.057848678,-0.212158102,-18.32983678,363790,240272,0.660468952,123518,450291,123518,247819,123518,0.498420218,0.501579782
181,181,181,1118417,6/29/2021,51038,1118417_0.csv,837,17012.66667,204152,243.9091995,-0.058154235,1.058154235,0.059055445,0.00140302,8.15E-07,-4194.177757,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1118417/000111841721000121/Financial_Report.xlsx,2021-06,11146,242.3043478,3.976064546,60.94074807,"Q2,2021",0.195616954,0.207556033,-17.30954395,356784,235488,0.660029598,121296,452611,121296,243020,121296,0.499119414,0.500880586
182,182,182,1118417,3/30/2021,48192,1118417_0.csv,791,16064,192768,243.7016435,-0.128388017,1.128388017,0.127720316,0.001324784,7.71E-07,-1898.165023,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1118417/000111841721000100/Financial_Report.xlsx,2021-03,11509,127.8777778,2.060678802,62.05614271,"Q1,2021",0.101468933,-0.14429089,-14.84358781,338997,216156,0.637633961,122841,843913,122841,242064,122841,0.50747323,0.49252677
183,183,183,1118417,12/30/2020,42734,1118417_0.csv,701,14244.66667,170936,243.8459344,,,,0.00141637,7.18E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1118417/000111841721000026/Financial_Report.xlsx,2020-12,9456,,,56.27872181,"Q4,2020",,NaN,,336517,211663,0.628981597,124854,893285,124854,241649,124854,0.516675012,0.483324988
184,184,184,1131554,ttm,280615,1131554_0.csv,7103973,93538.33333,1122460,0.158004542,-2.409504991,3.409504991,2.800774742,0.006529727,0.006527791,-0.06557552,"('-1', 'ttm')",,2021-ttm,0,,,59.04406359,"-1,ttm",,0.016265736,,,,,,,,,,,
185,185,185,1131554,12/30/2021,73831,1131554_0.csv,2083579,24610.33333,295324,0.141738806,-0.058463475,1.058463475,0.058463435,0.002029593,0.002029592,-2.424399266,"('Q4', '2021')",,2021-12,0,0,0,36.84617082,"Q4,2021",0,-5.34E-09,#NAME?,450734,274906,0.609907395,175828,8379,90823,296432,175828,0.593147838,0.406852162
186,186,186,1131554,9/29/2021,69753,1131554_0.csv,1968494,23251,279012,0.141738811,0.024869978,0.975130022,-0.024869988,0.00191749,0.001917489,5.699193248,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1131554/000113155421000088/Financial_Report.xlsx,2021-09,0,0,0,57.7949175,"Q3,2021",0,-1.47E-09,#NAME?,448375,282776,0.630668525,165599,8300,93094,283093,165599,0.584963245,0.415036755
187,187,187,1131554,6/29/2021,71532,1131554_0.csv,2018699,23844,286128,0.141738813,-0.09210779,1.09210779,0.092108276,0.001966394,0.001966393,-1.538836321,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1131554/000113155421000057/Financial_Report.xlsx,2021-06,0,0,0,57.84448591,"Q2,2021",0,6.31E-08,#NAME?,463690,289228,0.623752938,174462,-,101956,291651,174462,0.59818756,0.40181244
188,188,188,1131554,3/30/2021,65499,1131554_0.csv,1848443,21833,261996,0.14173875,0.177202304,0.822797696,-0.055897488,0.001800548,0.001800548,0.79986968,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1131554/000113155421000023/Financial_Report.xlsx,2021-03,0,0,0,57.9924916,"Q1,2021",0,0.018211574,#NAME?,465130,195225,0.419721368,269905,0,22063,269905,269905,1,0
189,189,189,1131554,12/30/2020,69377,1131554_0.csv,2246534,23125.66667,277508,0.123527176,,,,0.002299422,0.002299421,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1131554/000113155421000012/Financial_Report.xlsx,2020-12,0,,,59.15393447,"Q4,2020",,NaN,,482255,201332,0.417480379,280923,17763,43282,280923,280923,1,0
190,190,190,1157817,ttm,36248,1157817_0.csv,917644,12082.66667,144992,0.158004629,,,,0.000843467,0.000843217,,"('-1', 'ttm')",,ttm'-ttm,13156,,,56.03971142,"-1,ttm",,NaN,,,,,,,,,,,
191,191,191,1160951,ttm,274865,1160951_0.csv,6958408,91621.66667,1099460,0.158004532,-2.358290432,3.358290432,2.743683687,0.006395928,0.006394032,-0.066999607,"('-1', 'ttm')",,2021-ttm,54694,,,67.84202359,"-1,ttm",,0.016265765,,,,,,,,,,,
192,192,192,1160951,11/29/2021,73421,1160951_0.csv,2072009,24473.66667,293684,0.141738767,-0.036229362,1.036229362,0.03622943,0.002018322,0.002018322,-3.91226231,"('Q4', '2021')",,2021-12,13167,0.181756691,0.002675371,67.93701628,"Q4,2021",0.226504344,9.27E-09,-21.5247223,818498,84609,0.103371053,733889,19464,733889,733889,733889,1,0
193,193,193,1160951,8/30/2021,70854,1160951_0.csv,1999566,23618,283416,0.141738757,-0.0429219,1.0429219,0.042921487,0.001947756,0.001947756,-3.302247973,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1160951/000156459021052973/Financial_Report.xlsx,2021-09,13734,0.166891473,0.002521489,66.18767386,"Q3,2021",0.213476294,-5.61E-08,-19.78679863,844133,113395,0.134333097,730738,21614,730738,730738,730738,1,0
194,194,194,1160951,5/30/2021,67938,1160951_0.csv,1917273,22646,271752,0.141738813,-0.084370323,1.084370323,0.08437081,0.001867596,0.001867595,-1.679960533,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1160951/000156459021036731/Financial_Report.xlsx,2021-06,13628,0.09135579,0.001427596,63.99275276,"Q2,2021",0.120864216,6.36E-08,-18.38920696,838038,103437,0.123427577,734601,22888,734601,734601,734601,1,0
195,195,195,1160951,2/27/2021,62652,1160951_0.csv,1768098,20884,250608,0.14173875,,,,0.001722285,0.001722285,,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1160951/000156459021018490/Financial_Report.xlsx,2021-03,14165,,,67.92724148,"Q1,2021",,NaN,,837297,105361,0.12583468,731936,25907,731936,731936,731936,1,0
196,196,196,1166388,ttm,1308879,1166388_0.csv,33135229,436293,5235516,0.158004521,-4.22256286,5.22256286,4.821897518,0.030456754,0.03044773,-0.037419105,"('-1', 'ttm')",,2021-ttm,0,,,62.15098242,"-1,ttm",,0.01626576,,,,,,,,,,,
197,197,197,1166388,10/30/2021,224820,1166388_0.csv,6344630,74940,899280,0.141738762,-0.047540473,1.047540473,0.047540502,0.006180236,0.006180236,-2.981433588,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1166388/000116638821000138/Financial_Report.xlsx,2021-09,0,0,0,60.47555857,"Q3,2021",0,4.03E-09,#NAME?,2298285,897272,0.39040937,1401013,1182,962180,1804912,1401013,0.776222331,0.223777669
198,198,198,1166388,7/30/2021,214617,1166388_0.csv,6056692,71539,858468,0.141738758,-0.068256546,1.068256546,0.068256481,0.005899759,0.005899758,-2.0765592,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1166388/000116638821000115/Financial_Report.xlsx,2021-06,0,0,0,61.97449633,"Q2,2021",0,-8.61E-09,#NAME?,2278019,897030,0.393776347,1380989,1689,942045,1784239,1380989,0.773993282,0.226006718
199,199,199,1166388,4/29/2021,200904,1166388_0.csv,5669698,66968,803616,0.141738766,0.424508787,0.575491213,-0.424508737,0.005522792,0.005522792,0.333888887,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1166388/000116638821000089/Financial_Report.xlsx,2021-03,0,0,0,67.52166228,"Q1,2021",0,1.23E-08,#NAME?,2701311,1335342,0.494331086,1365969,2944,927096,1769031,1365969,0.772156621,0.227843379
200,200,200,1166388,1/30/2021,349100,1166388_0.csv,9851928,116366.6667,1396400,0.141738754,,,,0.009596657,0.009596657,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1166388/000116638821000028/Financial_Report.xlsx,2020-12,0,,,60.27216027,"Q4,2020",,NaN,,3261295,1773262,0.543729408,1488033,4159,1272278,1875687,1488033,0.793326925,0.206673075
201,201,201,1167419,ttm,127644,1167419_0.csv,4889,42548,510576,104.4336265,0.507603988,0.492396012,0.969571658,0.002970192,4.49E-06,205.7383884,"('-1', 'ttm')",,2021-ttm,0,,,85.24165445,"-1,ttm",,78.32505566,,,,,,,,,,,
202,202,202,1167419,9/29/2021,64808,1167419_0.csv,9929,21602.66667,259232,26.10857085,-0.886925124,1.886925124,0.886805636,0.001781553,9.67E-06,-29.43717588,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1167419/000107997321001156/Financial_Report.xlsx,2021-09,0,0,0,85.19475642,"Q3,2021",0,-0.001653396,#NAME?,954407,184092,0.192886263,770315,5402,770304,770315,770315,1,0
203,203,203,1167419,6/29/2021,34348,1167419_0.csv,5262,11449.33333,137392,26.11022425,-0.48100197,1.48100197,0.480708712,0.000944217,5.13E-06,-54.28298816,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1167419/000107997321000828/Financial_Report.xlsx,2021-06,0,0,0,85.05735493,"Q2,2021",0,-0.005171191,#NAME?,906369,192206,0.212061533,714163,882231,714152,714163,714163,1,0
204,204,204,1167419,3/30/2021,23197,1167419_0.csv,3553,7732.333333,92788,26.11539544,-3.386419753,4.386419753,3.384237384,0.000637679,3.46E-06,-7.71180106,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1167419/000107997321000383/Financial_Report.xlsx,2021-03,0,0,0,86.2202256,"Q1,2021",0,-0.012999621,#NAME?,375905,8088,0.021516075,367817,901799,367806,367817,367817,1,0
205,205,205,1167419,12/30/2020,5291,1167419_0.csv,810,1763.666667,21164,26.12839506,,,,0.000175364,8.29E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1167419/000107997321000221/Financial_Report.xlsx,2020-12,0,,,84.52448769,"Q4,2020",,NaN,,280147,3076,0.01097995,277071,913280,277049,277071,277071,1,0
206,206,206,1169561,ttm,754983,1169561_0.csv,28000,251661,3019932,107.8547143,0.06735061,0.93264939,2.730503358,0.017567958,2.57E-05,1601.391806,"('-1', 'ttm')",,2021-ttm,335167,,,84.88659092,"-1,ttm",,80.89035482,,,,,,,,,,,
207,207,207,1169561,12/30/2021,202381,1169561_0.csv,30022,67460.33333,809524,26.96435947,-0.13797286,1.13797286,0.137994827,0.005563395,2.92E-05,-195.4323438,"('Q4', '2021')",,2021-12,89217,24.51016484,0.317464145,77.20608839,"Q4,2021",0.14128167,0.000520489,-7.973522216,768559,515099,0.670213998,253460,946695,253460,253460,253460,1,0
208,208,208,1169561,9/29/2021,177840,1169561_0.csv,26382,59280,711360,26.96383898,0.030429989,0.969570011,-0.030427268,0.00488877,2.57E-05,886.0942738,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1169561/000116956121000041/Financial_Report.xlsx,2021-09,82928,-100.1545894,-1.291066351,77.57509077,"Q3,2021",-0.574576796,7.57E-05,-8.847265805,779754,479976,0.615547981,299778,915753,299778,299778,299778,1,0
209,209,209,1169561,6/29/2021,183421,1169561_0.csv,27210,61140.33333,733684,26.96376332,0.04136133,0.95863867,-0.04139207,0.00504219,2.65E-05,651.9075453,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1169561/000116956121000032/Financial_Report.xlsx,2021-06,76361,-65.04344123,-0.859152047,75.70655442,"Q2,2021",-0.382358517,-0.000864637,-10.02264845,839388,484850,0.577623221,354538,988400,354538,354538,354538,1,0
210,210,210,1169561,3/30/2021,191341,1169561_0.csv,28384,63780.33333,765364,26.96462796,-0.017785427,1.017785427,0.017814588,0.005259908,2.76E-05,-1516.107953,"('Q1', '2021')",,2021-03,86661,174.7197581,2.267536054,77.05269239,"Q1,2021",1.00911582,0.000772538,-8.677369803,904173,510139,0.56420508,394034,1005600,394034,394034,394034,1,0
211,211,211,1169561,12/30/2020,187992,1169561_0.csv,27888,62664,751968,26.96385542,,,,0.006230781,2.85E-05,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1169561/000116956121000018/Financial_Report.xlsx,2020-12,84542,,,78.53240055,"Q4,2020",,NaN,,905579,491508,0.542755519,414071,987500,414071,414071,414071,1,0
212,212,212,1169652,ttm,167729,1169652_0.csv,2001,55909.66667,670916,335.2903548,0.07702952,0.92297048,2.690813071,0.003902944,1.84E-06,4352.751433,"('-1', 'ttm')",,2021-ttm,60755,,,78.79787656,"-1,ttm",,251.4434914,,,,,,,,,,,
213,213,213,1169652,12/30/2021,45445,1169652_0.csv,2168,15148.33333,181780,83.84686347,-0.09329299,1.09329299,0.093084787,0.00124927,2.11E-06,-898.7477311,"('Q4', '2021')",,2021-12,15482,83.68648649,1.07477655,77.86407924,"Q4,2021",0.153819929,-0.015970621,-10.73946068,239972,51774,0.215750171,188198,987000,188198,188198,188198,1,0
214,214,214,1169652,9/29/2021,41575,1169652_0.csv,1983,13858.33333,166300,83.86283409,-0.000504541,1.000504541,0.000770286,0.001142885,1.93E-06,-166216.1372,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1169652/000116965221000087/Financial_Report.xlsx,2021-09,15482,15482,200.1090205,77.36782662,"Q3,2021",28.63375978,0.022269004,-10.73608947,206878,56050,0.270932627,150828,-,150828,150828,150828,1,0
215,215,215,1169652,6/29/2021,41543,1169652_0.csv,1982,13847.66667,166172,83.84056509,-0.061027837,1.061027837,0.060690395,0.001142005,1.93E-06,-1373.808558,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1169652/000116965221000078/Financial_Report.xlsx,2021-06,15159,132.9736842,1.688806782,78.73824622,"Q2,2021",0.241716899,-0.026672602,-10.33143186,201199,54044,0.268609685,147155,1009566,147155,147155,147155,1,0
216,216,216,1169652,3/30/2021,39166,1169652_0.csv,1868,13055.33333,156664,83.86723769,0.028601144,0.971398856,-0.02842826,0.001076662,1.82E-06,2932.303601,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1169652/000116965221000065/Financial_Report.xlsx,2021-03,14632,-266.0363636,-3.42078451,77.77057072,"Q1,2021",-0.48945709,0.014923595,-11.02219096,190388,50416,0.264806605,139972,547996,139972,139972,139972,1,0
217,217,217,1169652,12/30/2020,40312,1169652_0.csv,1923,13437.33333,161248,83.85231409,,,,0.001336095,1.97E-06,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1169652/000116965221000007/Financial_Report.xlsx,2020-12,14469,,,77.5640725,"Q4,2020",,NaN,,180661,50570,0.279916529,130091,569913,130091,130091,130091,1,0
218,218,218,1261333,ttm,2107213,1261333_0.csv,53345638,702404.3333,8428852,0.158004521,-2.627946792,3.627946792,2.627946655,0.049033461,0.049018933,-0.060124703,"('-1', 'ttm')",,2021-ttm,1076527,,,76.42597552,"-1,ttm",,-5.93E-09,,,,,,,,,,,
219,219,219,1261333,1/30/2022,580828,1261333_0.csv,14704085,193609.3333,2323312,0.158004527,0.04478456,0.95521544,0.064834828,0.013515486,0.013511481,3.52810273,"('Q4', '2021')",,2021-12,299417,-0.434321647,-0.005672045,76.57231764,"Q4,2021",-0.4307759,0.016265771,-8.12324865,2541265,2265762,0.891588244,275503,573734,275503,993990,275503,0.277168784,0.722831216
