Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-02-01,1166388_8K_2021_0001166388-21-000016.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q3,2021-09-01,1517375_8K_2021_0001517375-21-000046.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-04-01,1167419_8K_2021_0001079973-21-000264.htm
WORKIVA INC,1445305,10Q,2020,Q4,2020-01-01,1445305_10Q_2021_0001445305-21-000168.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q3,2021-10-01,948708_8K_2021_0001564590-21-050247.htm
SLACK TECHNOLOGIES INC,1764925,10Q,2020,Q4,2020-01-01,1764925_10Q_2021_0001764925-21-000096.htm
PAGERDUTY INC,1568100,8K,2021,Q3,2021-09-01,1568100_8K_2021_0001568100-21-000033.htm
NORTONLIFELOCK INC,849399,8K,2020,Q4,2020-01-01,849399_8K_2021_0001104659-21-005332.htm
CDK GLOBAL INC,1609702,8K,2021,Q3,2021-09-01,1609702_8K_2021_0001609702-21-000066.htm
CERENCE INC,1768267,8K,2021,Q3,2021-08-01,1768267_8K_2021_0001564590-21-042384.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q2,2021-07-01,948708_8K_2021_0001564590-21-037221.htm
ASURE SOFTWARE INC,884144,8K,2021,Q2,2021-05-01,884144_8K_2021_0001628280-21-009689.htm
MANHATTAN ASSOCIATES INC,1056696,10Q,2020,Q4,2020-01-01,1056696_10Q_2021_0001564590-21-039189.htm
ASANA INC,1477720,8K,2021,Q3,2021-09-01,1477720_8K_2021_0001477720-21-000049.htm
SPLUNK INC,1353283,8K,2021,Q2,2021-06-01,1353283_8K_2021_0001104659-21-084180.htm
DIGITAL TURBINE INC,317788,10Q,2020,Q4,2020-01-01,317788_10Q_2021_0001628280-21-021199.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q3,2021-10-01,1576914_8K_2021_0001628280-21-020679.htm
IMAGEWARE SYSTEMS INC,941685,10Q,2020,Q4,2020-01-01,941685_10Q_2021_0001654954-21-009368.htm
PAGERDUTY INC,1568100,8K,2021,Q2,2021-06-01,1568100_8K_2021_0001568100-21-000031.htm
BIO-KEY INTERNATIONAL INC,1019034,10K,2019,Q4,2019-01-01,1019034_10K_2020_0001437749-21-007486.htm
WORKDAY INC,1327811,10Q,2020,Q4,2020-01-01,1327811_10Q_2021_0001327811-21-000174.htm
PTC INC,857005,8K,2021,Q2,2021-07-01,857005_8K_2021_0001564590-21-038615.htm
SECUREWORKS CORP,1468666,8K,2021,Q1,2021-03-01,1468666_8K_2021_0001468666-21-000005.htm
J2 GLOBAL INC,1084048,8K,2021,Q1,2021-04-01,1084048_8K_2021_0001084048-21-000025.htm
SAILPOINT TECHNO HLDG,1627857,8K,2021,Q4,2021-11-01,1627857_8K_2021_0001627857-21-000101.htm
UNITY SOFTWARE INC,1810806,10K,2019,Q4,2019-01-01,1810806_10K_2020_0001810806-21-000052.htm
CROWDSTRIKE HOLDINGS INC,1535527,10K,2019,Q4,2019-01-01,1535527_10K_2021_0001535527-21-000007.htm
BENTLEY SYSTEMS INC,1031308,10Q,2020,Q4,2020-01-01,1031308_10Q_2021_0001628280-21-009814.htm
RAPID7 INC,1560327,8K,2021,Q4,2021-11-01,1560327_8K_2021_0001560327-21-000191.htm
ASURE SOFTWARE INC,884144,10Q,2020,Q4,2020-01-01,884144_10Q_2021_0001628280-21-009694.htm
TELENAV INC,1474439,8K,2021,Q1,2021-02-01,1474439_8K_2021_0001474439-21-000004.htm
MARIN SOFTWARE INC,1389002,8K,2021,Q2,2021-07-01,1389002_8K_2021_0001193125-21-215985.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q1,2021-02-01,1626450_8K_2021_0001193125-21-050740.htm
ALTERYX INC,1689923,10K,2019,Q4,2019-01-01,1689923_10K_2020_0001689923-21-000024.htm
PEGASYSTEMS INC,1013857,8K,2021,Q1,2021-04-01,1013857_8K_2021_0001013857-21-000095.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q2,2021-07-01,823546_8K_2021_0001493152-21-015780.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q2,2021-07-01,1073349_8K_2021_0001073349-21-000086.htm
APPIAN CORP,1441683,10Q,2020,Q4,2020-01-01,1441683_10Q_2021_0001441683-21-000041.htm
JAMF HOLDING CORP,1721947,8K,2021,Q3,2021-08-01,1721947_8K_2021_0001628280-21-017414.htm
ZSCALER INC,1713683,10K,2020,Q4,2020-01-01,1713683_10K_2021_0001713683-21-000175.htm
PALANTIR TECHNOLOG INC,1321655,10Q,2020,Q4,2020-01-01,1321655_10Q_2021_0001193125-21-159222.htm
LIVEPERSON INC,1102993,10Q,2020,Q4,2020-01-01,1102993_10Q_2021_0001102993-21-000120.htm
SYNOPSYS INC,883241,8K,2021,Q2,2021-05-01,883241_8K_2021_0001193125-21-166643.htm
SUMO LOGIC INC,1643269,10Q,2020,Q4,2020-01-01,1643269_10Q_2021_0001643269-21-000014.htm
PAYCHEX INC,723531,10Q,2020,Q4,2020-01-01,723531_10Q_2021_0000723531-21-000064.htm
SVMK INC,1739936,8K,2021,Q3,2021-08-01,1739936_8K_2021_0001564590-21-040798.htm
ACI WORLDWIDE INC,935036,8K,2020,Q4,2020-01-01,935036_8K_2021_0000935036-21-000004.htm
SMARTSHEET INC,1366561,8K,2021,Q4,2021-11-01,1366561_8K_2021_0001366561-21-000122.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q3,2021-08-01,1029744_8K_2021_0001437749-21-019694.htm
BOXLIGHT CORP,1624512,8K,2021,Q3,2021-08-01,1624512_8K_2021_0001493152-21-019522.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q4,2021-12-01,1467761_8K_2021_0001493152-21-030769.htm
VERB TECHNOLOGY CO INC,1566610,10Q,2020,Q4,2020-01-01,1566610_10Q_2021_0001493152-21-028528.htm
XPERI HOLDING CORP,1803696,10Q,2020,Q4,2020-01-01,1803696_10Q_2021_0001564590-21-042188.htm
NORTONLIFELOCK INC,849399,10Q,2020,Q4,2020-01-01,849399_10Q_2021_0000849399-21-000014.htm
MICROSOFT CORP,789019,10Q,2019,Q4,2019-01-01,789019_10Q_2020_0001564590-21-002316.htm
PEGASYSTEMS INC,1013857,8K,2021,Q3,2021-10-01,1013857_8K_2021_0001013857-21-000243.htm
AVALARA INC,1348036,8K,2021,Q3,2021-10-01,1348036_8K_2021_0001193125-21-289786.htm
SPS COMMERCE INC,1092699,10Q,2020,Q4,2020-01-01,1092699_10Q_2021_0001564590-21-021965.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2021,Q1,2021-03-01,1535527_8K_2021_0001535527-21-000005.htm
SMITH MICRO SOFTWARE INC,948708,10K,2019,Q4,2019-01-01,948708_10K_2020_0001564590-21-011475.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q2,2021-06-01,1131554_8K_2021_0001104659-21-087598.htm
REALNETWORKS INC,1046327,8K,2021,Q3,2021-08-01,1046327_8K_2021_0001046327-21-000030.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2020,Q4,2020-01-01,1535527_8K_2021_0001104659-21-000959.htm
QUALYS INC,1107843,10Q,2020,Q4,2020-01-01,1107843_10Q_2021_0001437749-21-010932.htm
PAID INC,1017655,10Q,2020,Q4,2020-01-01,1017655_10Q_2021_0001654954-21-009086.htm
EBIX INC,814549,10Q,2020,Q4,2020-01-01,814549_10Q_2021_0001628280-21-016191.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q2,2021-06-01,1701732_8K_2021_0001193125-21-180006.htm
NEW RELIC INC,1448056,10Q,2020,Q4,2020-01-01,1448056_10Q_2021_0001448056-21-000057.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q3,2021-08-01,1029744_8K_2021_0001437749-21-018322.htm
SYNOPSYS INC,883241,10Q,2020,Q4,2020-01-01,883241_10Q_2021_0000883241-21-000009.htm
TYLER TECHNOLOGIES INC,860731,10K,2019,Q4,2019-01-01,860731_10K_2020_0000860731-21-000014.htm
UPLAND SOFTWARE INC,1505155,10K,2019,Q4,2019-01-01,1505155_10K_2020_0001505155-21-000011.htm
ELASTIC NV,1707753,8K,2021,Q4,2021-12-01,1707753_8K_2021_0001707753-21-000068.htm
EBIX INC,814549,8K,2021,Q1,2021-04-01,814549_8K_2021_0001193125-21-117914.htm
SYNOPSYS INC,883241,8K,2021,Q1,2021-02-01,883241_8K_2021_0001193125-21-034440.htm
BSQUARE CORP,1054721,10Q,2020,Q4,2020-01-01,1054721_10Q_2021_0001437749-21-012093.htm
CORNERSTONE ONDEMAND INC,1401680,10Q,2020,Q4,2020-01-01,1401680_10Q_2021_0001401680-21-000021.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q3,2021-10-01,1467761_8K_2021_0001493152-21-026306.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q1,2021-02-01,877890_8K_2021_0001193125-21-038406.htm
BLACKLINE INC,1666134,10Q,2020,Q4,2020-01-01,1666134_10Q_2021_0001666134-21-000016.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q2,2021-05-01,1701732_8K_2021_0001564590-21-025036.htm
THEGLOBE.COM INC,1066684,10Q,2020,Q4,2020-01-01,1066684_10Q_2021_0001104659-21-101993.htm
SECUREWORKS CORP,1468666,10K,2019,Q4,2019-01-01,1468666_10K_2021_0001468666-21-000012.htm
FALCONSTOR SOFTWARE INC,922521,8K,2021,Q4,2021-11-01,922521_8K_2021_0001628280-21-022807.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q2,2021-05-01,1590955_8K_2021_0001193125-21-154947.htm
DOCUSIGN INC,1261333,8K,2020,Q4,2020-01-01,1261333_8K_2021_0001628280-21-000491.htm
ANAPLAN INC,1540755,10Q,2020,Q4,2020-01-01,1540755_10Q_2021_0001540755-21-000034.htm
VERTEX INC,1806837,10Q,2020,Q4,2020-01-01,1806837_10Q_2021_0001558370-21-011506.htm
CYREN LTD,1084577,8K,2021,Q4,2021-12-01,1084577_8K_2021_0001213900-21-064314.htm
BIO-KEY INTERNATIONAL INC,1019034,10Q,2020,Q4,2020-01-01,1019034_10Q_2021_0001437749-21-012546.htm
AUTODESK INC,769397,8K,2021,Q3,2021-10-01,769397_8K_2021_0001193125-21-290276.htm
ONESPAN INC,1044777,8K,2021,Q2,2021-05-01,1044777_8K_2021_0001387131-21-005445.htm
CLEANSPARK INC,827876,8K,2021,Q3,2021-10-01,827876_8K_2021_0001663577-21-000563.htm
ZOOMINFO TECHNOLOGIES,1794515,8K,2021,Q3,2021-08-01,1794515_8K_2021_0001794515-21-000236.htm
FALCONSTOR SOFTWARE INC,922521,8K,2021,Q3,2021-08-01,922521_8K_2021_0001628280-21-015574.htm
TRADE DESK INC,1671933,8K,2021,Q2,2021-06-01,1671933_8K_2021_0001564590-21-033262.htm
PROGRESS SOFTWARE CORP,876167,8K,2021,Q3,2021-09-01,876167_8K_2021_0000876167-21-000131.htm
SALESFORCE.COM INC,1108524,8K,2021,Q1,2021-02-01,1108524_8K_2021_0001108524-21-000007.htm
GUIDEWIRE SOFTWARE INC,1528396,8K,2021,Q1,2021-03-01,1528396_8K_2021_0001528396-21-000014.htm
CLEANSPARK INC,827876,10Q,2020,Q4,2020-01-01,827876_10Q_2021_0001663577-21-000429.htm
APPFOLIO INC,1433195,8K,2021,Q3,2021-09-01,1433195_8K_2021_0001433195-21-000090.htm
MICROSTRATEGY INC,1050446,10Q,2020,Q4,2020-01-01,1050446_10Q_2021_0001564590-21-039125.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q4,2021-12-01,320340_8K_2021_0001437749-21-028614.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q2,2021-06-01,1786352_8K_2021_0001193125-21-178541.htm
UNITY SOFTWARE INC,1810806,10Q,2020,Q4,2020-01-01,1810806_10Q_2021_0001810806-21-000152.htm
LIVEPERSON INC,1102993,10Q,2020,Q4,2020-01-01,1102993_10Q_2021_0001102993-21-000084.htm
ALTAIR ENGINEERING INC,1701732,10K,2019,Q4,2019-01-01,1701732_10K_2020_0001564590-21-009427.htm
AVALARA INC,1348036,8K,2021,Q3,2021-08-01,1348036_8K_2021_0001564590-21-041657.htm
XPERI HOLDING CORP,1803696,8K,2021,Q1,2021-02-01,1803696_8K_2021_0001564590-21-007572.htm
RAPID7 INC,1560327,8K,2021,Q4,2021-11-01,1560327_8K_2021_0001560327-21-000188.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-03-01,837852_8K_2021_0001104659-21-029512.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-04-01,1166388_8K_2021_0001193125-21-111570.htm
VIRNETX HOLDING CORP,1082324,8K,2020,Q4,2020-01-01,1082324_8K_2021_0001140361-21-001333.htm
TWILIO INC,1447669,8K,2021,Q2,2021-07-01,1447669_8K_2021_0001447669-21-000197.htm
VERITONE INC,1615165,8K,2021,Q2,2021-07-01,1615165_8K_2021_0001193125-21-223304.htm
AUDIOEYE INC,1362190,8K,2021,Q4,2021-11-01,1362190_8K_2021_0001104659-21-137319.htm
MICROSTRATEGY INC,1050446,8K,2021,Q1,2021-02-01,1050446_8K_2021_0001193125-21-048555.htm
WORKDAY INC,1327811,8K,2021,Q4,2021-11-01,1327811_8K_2021_0001327811-21-000173.htm
NCINO INC,1566895,8K,2021,Q2,2021-06-01,1566895_8K_2021_0001566895-21-000018.htm
IDEANOMICS INC,837852,10K,2019,Q4,2019-01-01,837852_10K_2020_0001104659-21-044740.htm
CLICKSTREAM CORP,1393548,8K,2021,Q4,2021-12-01,1393548_8K_2021_0001575705-21-000825.htm
ANSYS INC,1013462,10Q,2020,Q4,2020-01-01,1013462_10Q_2021_0001013462-21-000039.htm
CERIDIAN HCM HOLDING,1725057,10K,2019,Q4,2019-01-01,1725057_10K_2020_0001564590-21-009508.htm
SYNOPSYS INC,883241,8K,2021,Q4,2021-12-01,883241_8K_2021_0001193125-21-349046.htm
EBIX INC,814549,8K,2021,Q1,2021-04-01,814549_8K_2021_0001193125-21-134963.htm
BENEFITFOCUS INC,1576169,8K,2021,Q1,2021-02-01,1576169_8K_2021_0001193125-21-024547.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q1,2021-02-01,1327567_8K_2021_0001628280-21-002659.htm
MONGODB INC,1441816,10Q,2020,Q4,2020-01-01,1441816_10Q_2021_0001441816-21-000242.htm
DOMO INC,1505952,8K,2021,Q4,2021-12-01,1505952_8K_2021_0001505952-21-000033.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q4,2021-12-01,1810806_8K_2021_0001193125-21-356841.htm
CYREN LTD,1084577,8K,2021,Q3,2021-08-01,1084577_8K_2021_0001213900-21-042993.htm
GSE SYSTEMS INC,944480,8K,2021,Q2,2021-05-01,944480_8K_2021_0000944480-21-000025.htm
INTUIT INC,896878,8K,2021,Q4,2021-11-01,896878_8K_2021_0000896878-21-000258.htm
JACK IN THE BOX INC,807882,8K,2021,Q2,2021-06-01,807882_8K_2021_0001157523-21-000747.htm
CITRIX SYSTEMS INC,877890,8K,2020,Q4,2020-01-01,877890_8K_2021_0001193125-21-010699.htm
MONGODB INC,1441816,8K,2021,Q2,2021-06-01,1441816_8K_2021_0001441816-21-000091.htm
WORKIVA INC,1445305,10K,2019,Q4,2019-01-01,1445305_10K_2020_0001445305-21-000035.htm
ACI WORLDWIDE INC,935036,8K,2021,Q4,2021-11-01,935036_8K_2021_0000935036-21-000072.htm
2U INC,1459417,10Q,2020,Q4,2020-01-01,1459417_10Q_2021_0001459417-21-000012.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q2,2021-05-01,1626450_8K_2021_0001193125-21-157594.htm
8X8 INC,1023731,10Q,2019,Q4,2019-01-01,1023731_10Q_2020_0001023731-21-000035.htm
CLOUDFLARE INC,1477333,8K,2021,Q3,2021-08-01,1477333_8K_2021_0001193125-21-246066.htm
UPLAND SOFTWARE INC,1505155,10Q,2020,Q4,2020-01-01,1505155_10Q_2021_0001505155-21-000031.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q2,2021-05-01,1378590_8K_2021_0001437749-21-011747.htm
REALNETWORKS INC,1046327,10Q,2020,Q4,2020-01-01,1046327_10Q_2021_0001628280-21-010092.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q3,2021-09-01,1701732_8K_2021_0001193125-21-283106.htm
TWILIO INC,1447669,8K,2021,Q3,2021-10-01,1447669_8K_2021_0001447669-21-000263.htm
APPFOLIO INC,1433195,8K,2021,Q2,2021-05-01,1433195_8K_2021_0001433195-21-000043.htm
BOXLIGHT CORP,1624512,8K,2021,Q3,2021-08-01,1624512_8K_2021_0001493152-21-021385.htm
NORTONLIFELOCK INC,849399,8K,2021,Q3,2021-09-01,849399_8K_2021_0001104659-21-112640.htm
SVMK INC,1739936,10K,2020,Q4,2020-01-01,1739936_10K_2020_0001564590-21-006682.htm
DIGITAL TURBINE INC,317788,8K,2021,Q2,2021-05-01,317788_8K_2021_0001104659-21-062452.htm
ISSUER DIRECT CORP,843006,10Q,2020,Q4,2020-01-01,843006_10Q_2021_0001654954-21-008567.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q1,2021-02-01,1327567_8K_2021_0001193125-21-049293.htm
ALTAIR ENGINEERING INC,1701732,10Q,2020,Q4,2020-01-01,1701732_10Q_2021_0001564590-21-041685.htm
PAYLOCITY HOLDING CORP,1591698,8K,2021,Q4,2021-11-01,1591698_8K_2021_0001104659-21-134365.htm
PARETEUM CORP,1084384,8K,2021,Q4,2021-12-01,1084384_8K_2021_0001104659-21-148662.htm
ALARM.COM HOLDINGS INC,1459200,8K,2021,Q2,2021-05-01,1459200_8K_2021_0001459200-21-000020.htm
PAYLOCITY HOLDING CORP,1591698,8K,2021,Q3,2021-09-01,1591698_8K_2021_0001104659-21-111860.htm
OKTA INC,1660134,8K,2021,Q4,2021-12-01,1660134_8K_2021_0001660134-21-000025.htm
AVAYA HLDGS CORP,1418100,8K,2021,Q4,2021-11-01,1418100_8K_2021_0001418100-21-000092.htm
AGILYSYS INC,78749,8K,2021,Q2,2021-07-01,78749_8K_2021_0001564590-21-038306.htm
CIPHERLOC CORP,1022505,8K,2021,Q3,2021-09-01,1022505_8K_2021_0001493152-21-022974.htm
HOPTO INC,1021435,10Q,2020,Q4,2020-01-01,1021435_10Q_2021_0001493152-21-020265.htm
NETSOL TECHNOLOGIES INC,1039280,10Q,2020,Q4,2020-01-01,1039280_10Q_2021_0001493152-21-028037.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q1,2021-02-01,1410384_8K_2021_0001410384-21-000011.htm
SUMO LOGIC INC,1643269,8K,2021,Q3,2021-08-01,1643269_8K_2021_0001643269-21-000023.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q1,2021-03-01,877890_8K_2021_0001193125-21-071467.htm
ROCKETFUEL BLOCKCHAIN INC,823546,10Q,2019,Q4,2019-01-01,823546_10Q_2020_0001493152-21-003888.htm
REALNETWORKS INC,1046327,8K,2021,Q1,2021-04-01,1046327_8K_2021_0001193125-21-133000.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q4,2021-12-01,1167419_8K_2021_0001553350-21-001130.htm
AVALARA INC,1348036,8K,2021,Q3,2021-09-01,1348036_8K_2021_0001193125-21-263339.htm
VERITONE INC,1615165,8K,2021,Q3,2021-09-01,1615165_8K_2021_0001564590-21-048226.htm
PROOFPOINT INC,1212458,10Q,2020,Q4,2020-01-01,1212458_10Q_2021_0001564590-21-023343.htm
SECUREWORKS CORP,1468666,10Q,2020,Q4,2020-01-01,1468666_10Q_2021_0001468666-21-000046.htm
WORKIVA INC,1445305,10Q,2020,Q4,2020-01-01,1445305_10Q_2021_0001445305-21-000108.htm
SALESFORCE.COM INC,1108524,8K,2021,Q4,2021-11-01,1108524_8K_2021_0001193125-21-343775.htm
SOLARWINDS CORP,1739942,8K,2021,Q1,2021-03-01,1739942_8K_2021_0001739942-21-000047.htm
NUANCE COMMUNICATIONS INC,1002517,10Q,2020,Q4,2020-01-01,1002517_10Q_2021_0001002517-21-000033.htm
NUTANIX INC,1618732,8K,2021,Q2,2021-05-01,1618732_8K_2021_0001157523-21-000720.htm
AVALARA INC,1348036,10Q,2020,Q4,2020-01-01,1348036_10Q_2021_0001564590-21-054616.htm
ENVESTNET INC,1337619,8K,2021,Q2,2021-05-01,1337619_8K_2021_0001628280-21-009300.htm
EVERBRIDGE INC,1437352,10Q,2020,Q4,2020-01-01,1437352_10Q_2021_0001564590-21-055769.htm
VERITONE INC,1615165,8K,2021,Q4,2021-11-01,1615165_8K_2021_0001564590-21-057894.htm
DIGITAL TURBINE INC,317788,8K,2021,Q1,2021-03-01,317788_8K_2021_0001628280-21-003951.htm
RAPID7 INC,1560327,10Q,2020,Q4,2020-01-01,1560327_10Q_2021_0001560327-21-000071.htm
DATTO HOLDING CORP,1724570,8K,2021,Q1,2021-03-01,1724570_8K_2021_0001724570-21-000007.htm
TWILIO INC,1447669,10Q,2020,Q4,2020-01-01,1447669_10Q_2021_0001447669-21-000266.htm
DROPBOX INC,1467623,8K,2020,Q4,2020-01-01,1467623_8K_2021_0001467623-21-000004.htm
AUTOMATIC DATA PROCESSING,8670,8K,2021,Q3,2021-10-01,8670_8K_2021_0000008670-21-000030.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,10Q,2020,Q4,2020-01-01,1073349_10Q_2021_0001073349-21-000132.htm
ALARM.COM HOLDINGS INC,1459200,8K,2021,Q3,2021-08-01,1459200_8K_2021_0001459200-21-000027.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q2,2021-05-01,1682325_8K_2021_0001104659-21-060983.htm
SMARTMETRIC INC,1301991,10Q,2020,Q4,2020-01-01,1301991_10Q_2021_0001829126-21-014608.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q4,2021-12-01,1467761_8K_2021_0001493152-21-032277.htm
DIGITAL TURBINE INC,317788,8K,2021,Q1,2021-03-01,317788_8K_2021_0001104659-21-040044.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q2,2021-06-01,1166388_8K_2021_0001166388-21-000086.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-03-01,1167419_8K_2021_0001079973-21-000178.htm
TYLER TECHNOLOGIES INC,860731,10Q,2020,Q4,2020-01-01,860731_10Q_2021_0000860731-21-000025.htm
JAMF HOLDING CORP,1721947,8K,2021,Q1,2021-04-01,1721947_8K_2021_0001104659-21-054932.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q1,2021-03-01,1031308_8K_2021_0001104659-21-037428.htm
IDEANOMICS INC,837852,8K,2020,Q4,2020-01-01,837852_8K_2021_0001104659-21-004705.htm
SALESFORCE.COM INC,1108524,8K,2021,Q4,2021-11-01,1108524_8K_2021_0001108524-21-000051.htm
SMARTSHEET INC,1366561,10K,2020,Q4,2020-01-01,1366561_10K_2021_0001366561-21-000036.htm
DIGITAL TURBINE INC,317788,8K,2021,Q4,2021-11-01,317788_8K_2021_0001628280-21-021186.htm
INUVO INC,829323,10Q,2020,Q4,2020-01-01,829323_10Q_2021_0000829323-21-000033.htm
SHARPSPRING INC,1506439,8K,2021,Q3,2021-09-01,1506439_8K_2021_0001654954-21-009642.htm
GUIDEWIRE SOFTWARE INC,1528396,8K,2021,Q3,2021-09-01,1528396_8K_2021_0001528396-21-000052.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,10Q,2020,Q4,2020-01-01,1585521_10Q_2021_0001585521-21-000235.htm
PROS HOLDINGS INC,1392972,8K,2021,Q3,2021-08-01,1392972_8K_2021_0001392972-21-000088.htm
HOPTO INC,1021435,10Q,2020,Q4,2020-01-01,1021435_10Q_2021_0001493152-21-028712.htm
IMAGEWARE SYSTEMS INC,941685,10Q,2020,Q4,2020-01-01,941685_10Q_2021_0001654954-21-006074.htm
BLACKBOXSTOCKS INC,1567900,10Q,2020,Q4,2020-01-01,1567900_10Q_2021_0001437749-21-020157.htm
AWARE INC,1015739,8K,2021,Q3,2021-10-01,1015739_8K_2021_0001193125-21-307955.htm
NORTONLIFELOCK INC,849399,8K,2021,Q2,2021-05-01,849399_8K_2021_0001157523-21-000641.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q1,2021-04-01,948708_8K_2021_0001564590-21-019249.htm
BLACKBOXSTOCKS INC,1567900,10K,2019,Q4,2019-01-01,1567900_10K_2020_0001437749-21-007800.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q4,2021-11-01,1725057_8K_2021_0001564590-21-053969.htm
DOMO INC,1505952,8K,2021,Q2,2021-05-01,1505952_8K_2021_0001505952-21-000012.htm
QUALYS INC,1107843,8K,2021,Q1,2021-03-01,1107843_8K_2021_0001193125-21-089520.htm
ELASTIC NV,1707753,8K,2021,Q3,2021-08-01,1707753_8K_2021_0001707753-21-000035.htm
AVAYA HLDGS CORP,1418100,8K,2021,Q3,2021-08-01,1418100_8K_2021_0001418100-21-000062.htm
MEDALLIA INC,1540184,10Q,2020,Q4,2020-01-01,1540184_10Q_2021_0001540184-21-000017.htm
CROWDSTRIKE HOLDINGS INC,1535527,10Q,2020,Q4,2020-01-01,1535527_10Q_2021_0001535527-21-000013.htm
FORTINET INC,1262039,10K,2020,Q4,2020-01-01,1262039_10K_2020_0001262039-21-000008.htm
IDEANOMICS INC,837852,8K,2021,Q4,2021-12-01,837852_8K_2021_0001104659-21-154303.htm
SPLUNK INC,1353283,8K,2021,Q4,2021-12-01,1353283_8K_2021_0001353283-21-000032.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q3,2021-08-01,1467761_8K_2021_0001493152-21-020803.htm
MITEK SYSTEMS INC,807863,10Q,2020,Q4,2020-01-01,807863_10Q_2021_0000807863-21-000084.htm
CLOUDFLARE INC,1477333,10Q,2020,Q4,2020-01-01,1477333_10Q_2021_0001477333-21-000026.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q1,2021-04-01,1019671_8K_2021_0001193125-21-102631.htm
SYNOPSYS INC,883241,8K,2021,Q4,2021-12-01,883241_8K_2021_0001193125-21-345415.htm
NORTONLIFELOCK INC,849399,8K,2021,Q2,2021-05-01,849399_8K_2021_0001104659-21-063918.htm
SYNACOR INC,1408278,10K,2020,Q4,2020-01-01,1408278_10K_2020_0001408278-21-000050.htm
SPS COMMERCE INC,1092699,10Q,2020,Q4,2020-01-01,1092699_10Q_2021_0001564590-21-052660.htm
ALARM.COM HOLDINGS INC,1459200,8K,2020,Q4,2020-01-01,1459200_8K_2021_0001104659-21-005852.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q2,2021-05-01,1327567_8K_2021_0001327567-21-000012.htm
ASURE SOFTWARE INC,884144,10Q,2020,Q4,2020-01-01,884144_10Q_2021_0000884144-21-000023.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q2,2021-07-01,1660280_8K_2021_0001660280-21-000125.htm
SEACHANGE INTERNATIONAL INC,1019671,10Q,2020,Q4,2020-01-01,1019671_10Q_2021_0001564590-21-060353.htm
SERVICENOW INC,1373715,8K,2021,Q1,2021-04-01,1373715_8K_2021_0001373715-21-000111.htm
CLEANSPARK INC,827876,10Q,2020,Q4,2020-01-01,827876_10Q_2020_0001663577-21-000066.htm
AVAYA HLDGS CORP,1418100,8K,2021,Q2,2021-05-01,1418100_8K_2021_0001418100-21-000043.htm
CLOUDFLARE INC,1477333,8K,2021,Q4,2021-12-01,1477333_8K_2021_0001193125-21-367029.htm
CORNERSTONE ONDEMAND INC,1401680,8K,2021,Q1,2021-04-01,1401680_8K_2021_0001193125-21-130381.htm
